pais,acesso_agua,temp_media,area_floresta,precipitacao
GUINEA,0.93,25.7,0.26,1651.0
GUINEA-BISSAU,0.99,26.75,0.7,1577.0
GUYANA,0.98,26.0,0.84,2387.0
HAITI,0.65,24.9,0.03,1440.0
HONDURAS,0.97,23.5,0.4,1976.0
HUNGARY,1.0,9.75,0.23,589.0
ICELAND,1.0,1.75,0.01,1940.0
INDIA,0.97,23.65,0.24,1083.0
INDONESIA,0.94,25.85,0.5,2702.0
IRAQ,0.94,21.4,0.02,216.0
IRELAND,0.98,9.3,0.11,1118.0
ISRAEL,1.0,19.2,0.08,435.0
ITALY,1.0,13.45,0.32,832.0
JAMAICA,0.98,24.95,0.31,2051.0
JAPAN,1.0,11.15,0.68,1668.0
JORDAN,0.98,18.3,0.01,111.0
KAZAKHSTAN,0.99,6.4,0.01,250.0
KENYA,0.82,24.75,0.08,630.0
KUWAIT,0.99,25.35,0.0,121.0
KYRGYZSTAN,0.97,1.55,0.03,533.0
LAOS,0.86,22.8,0.82,1834.0
LATVIA,1.0,5.6,0.54,641.0
LEBANON,0.99,16.4,0.13,661.0
LESOTHO,0.95,11.85,0.02,788.0
LIBERIA,0.89,25.3,0.43,2391.0
LITHUANIA,1.0,6.2,0.35,656.0
LUXEMBOURG,1.0,8.65,0.36,934.0
MADAGASCAR,0.82,22.65,0.21,1513.0
MALAWI,0.96,21.9,0.33,1181.0
MALAYSIA,1.0,25.4,0.68,2875.0
MALDIVES,1.0,27.65,0.03,1972.0
MALI,0.96,28.25,0.04,282.0
MALTA,1.0,19.2,0.01,560.0
MAURITANIA,0.58,27.65,0.0,92.0
MAURITIUS,1.0,22.4,0.19,2041.0
MEXICO,0.97,21.0,0.34,758.0
MOLDOVA,0.97,9.45,0.13,450.0
MONGOLIA,0.66,-0.7,0.08,241.0
MOROCCO,0.99,17.1,0.13,346.0
MOZAMBIQUE,0.81,23.8,0.48,1032.0
MYANMAR,0.93,13.05,0.44,2091.0
NAMIBIA,0.98,19.95,0.08,285.0
NEPAL,0.91,8.1,0.25,1500.0
NETHERLANDS,1.0,9.25,0.11,778.0
NEW ZEALAND,1.0,10.55,0.39,1732.0
NICARAGUA,0.99,24.9,0.26,2280.0
NIGER,1.0,27.15,0.01,151.0
NIGERIA,0.81,26.8,0.07,1150.0
NORWAY,1.0,1.5,0.33,1414.0
OMAN,0.96,25.6,0.0,125.0
PAKISTAN,0.94,20.2,0.02,494.0
PANAMA,0.98,25.4,0.62,2928.0
PAPUA NEW GUINEA,0.88,25.25,0.74,3142.0
PARAGUAY,1.0,23.55,0.38,1130.0
PERU,0.91,19.6,0.58,1738.0
PHILIPPINES,0.94,25.85,0.28,2348.0
POLAND,0.99,7.85,0.31,600.0
PORTUGAL,1.0,15.15,0.35,854.0
QATAR,1.0,27.15,0.0,74.0
ROMANIA,1.0,8.8,0.3,637.0
RUSSIA,0.99,-5.1,0.5,460.0
RWANDA,0.87,17.85,0.2,1212.0
SAINT KITTS AND NEVIS,0.98,24.5,0.42,1427.0
SAINT LUCIA,1.0,25.5,0.33,2301.0
SAINT VINCENT AND THE GRENADINES,0.95,26.8,0.69,1583.0
SAO TOME AND PRINCIPE,0.99,23.75,0.56,3200.0
SAUDI ARABIA,0.97,24.65,0.0,59.0
SENEGAL,0.93,27.85,0.43,686.0
SEYCHELLES,0.96,27.15,0.88,2330.0
SIERRA LEONE,0.85,26.05,0.43,2526.0
SINGAPORE,1.0,26.45,0.23,2497.0
SLOVAKIA,1.0,6.8,0.4,824.0
SLOVENIA,1.0,8.9,0.62,1162.0
SOLOMON ISLANDS,0.93,25.65,0.78,3028.0
SOUTH AFRICA,1.0,17.75,0.08,495.0
SOUTH KOREA,1.0,11.5,0.63,1274.0
SPAIN,1.0,13.3,0.37,636.0
SRI LANKA,0.98,26.95,0.33,1712.0
SURINAME,0.98,25.7,0.98,2331.0
SWEDEN,1.0,2.1,0.69,624.0
SWITZERLAND,1.0,5.5,0.32,1537.0
SYRIA,0.92,17.75,0.03,252.0
TAJIKISTAN,0.93,2.0,0.03,691.0
TANZANIA,0.77,22.35,0.52,1071.0
THAILAND,0.98,26.3,0.32,1622.0
TOGO,0.91,27.15,0.03,1168.0
TRINIDAD AND TOBAGO,0.95,25.75,0.46,2200.0
TUNISIA,1.0,19.2,0.07,207.0
TURKEY,1.0,11.1,0.15,593.0
UGANDA,0.96,22.8,0.1,1180.0
UKRAINE,0.96,8.3,0.17,565.0
UNITED ARAB EMIRATES,1.0,27.0,0.05,78.0
UNITED KINGDOM,1.0,8.45,0.13,1220.0
UNITED STATES,0.99,8.55,0.34,715.0
URUGUAY,1.0,17.55,0.11,1300.0
UZBEKISTAN,0.98,12.05,0.08,206.0
VENEZUELA,0.95,25.35,0.53,2044.0
VIETNAM,0.99,24.45,0.48,1821.0
ZAMBIA,0.86,21.4,0.65,1020.0
ZIMBABWE,0.97,21.0,0.36,657.0
